Des_Age,PredictedProb,LL,UL,Grouping_Var,Grouping
21,0.167441142,0.128361249,0.216649582,No,High_School_Grad
22,0.164773963,0.125237723,0.214999397,No,High_School_Grad
23,0.165809756,0.127113178,0.215053093,No,High_School_Grad
24,0.155961252,0.119410456,0.202462662,No,High_School_Grad
25,0.160655873,0.125647712,0.204628273,No,High_School_Grad
26,0.157635085,0.120809183,0.204614805,No,High_School_Grad
27,0.150646434,0.114843706,0.197366163,No,High_School_Grad
28,0.152311128,0.116721679,0.198129506,No,High_School_Grad
29,0.14891853,0.113182519,0.195045652,No,High_School_Grad
30,0.148590686,0.111215231,0.199614482,No,High_School_Grad
31,0.14505173,0.108956901,0.192013841,No,High_School_Grad
32,0.141566621,0.105634084,0.191079187,No,High_School_Grad
33,0.137112148,0.103337324,0.181403408,No,High_School_Grad
34,0.134062427,0.100665927,0.177916364,No,High_School_Grad
35,0.130864793,0.098080092,0.174409632,No,High_School_Grad
36,0.126198986,0.094798916,0.167860822,No,High_School_Grad
37,0.129241046,0.096389979,0.172786685,No,High_School_Grad
38,0.128681442,0.096269152,0.171396092,No,High_School_Grad
39,0.126631905,0.092655148,0.172140818,No,High_School_Grad
40,0.119398076,0.090137703,0.157625729,No,High_School_Grad
41,0.110967836,0.083006077,0.148085177,No,High_School_Grad
42,0.117479552,0.088044704,0.155995917,No,High_School_Grad
43,0.112860802,0.083168049,0.152368219,No,High_School_Grad
44,0.111903381,0.08130199,0.153373943,No,High_School_Grad
45,0.112387134,0.082399449,0.154917164,No,High_School_Grad
46,0.108965626,0.081431323,0.147645884,No,High_School_Grad
47,0.109511811,0.082411253,0.145298837,No,High_School_Grad
48,0.099802364,0.076349764,0.130697535,No,High_School_Grad
49,0.102579957,0.07656992,0.137748207,No,High_School_Grad
50,0.103922565,0.077497268,0.140748874,No,High_School_Grad
51,0.098913207,0.072374032,0.137171328,No,High_School_Grad
52,0.097614292,0.072730283,0.13298141,No,High_School_Grad
