Rent_Groups,PredictedProb,LL,UL,Grouping_Var,Grouping
2149,0.072466147,0.03944049,0.129404579,Disabled,Disability_Status
2154,0.039789021,0.028152488,0.055962876,Disabled,Disability_Status
2159,0.064726568,0.0424322,0.09767986,Disabled,Disability_Status
2164,0.066168672,0.04173836,0.103356219,Disabled,Disability_Status
2219,0.073862021,0.050978721,0.105871283,Disabled,Disability_Status
2224,0.032325582,0.018141374,0.056956673,Disabled,Disability_Status
2254,0.083190293,0.054165939,0.125688026,Disabled,Disability_Status
2259,0.084220036,0.057833398,0.120964657,Disabled,Disability_Status
2269,0.047120351,0.030854258,0.071347633,Disabled,Disability_Status
2274,0.068132068,0.045905727,0.099991989,Disabled,Disability_Status
2289,0.043306809,0.024241732,0.07619491,Disabled,Disability_Status
2309,0.122807294,0.071581526,0.202688517,Disabled,Disability_Status
2369,0.081436587,0.051896073,0.125987978,Disabled,Disability_Status
2389,0.071916786,0.047842011,0.107010631,Disabled,Disability_Status
2429,0.065901561,0.045270368,0.094999499,Disabled,Disability_Status
2434,0.030504412,0.017345176,0.053107586,Disabled,Disability_Status
2454,0.132468221,0.090984188,0.188935485,Disabled,Disability_Status
2479,0.04189175,0.02273041,0.07595043,Disabled,Disability_Status
2489,0.384677427,0.15595894,0.678980559,Disabled,Disability_Status
2504,0.058941994,0.032761331,0.10380962,Disabled,Disability_Status
2509,0.141187634,0.072015853,0.258305761,Disabled,Disability_Status
2539,0.1028282,0.062081436,0.165597003,Disabled,Disability_Status
2554,0.044663179,0.02896776,0.068283555,Disabled,Disability_Status
2594,0.060130157,0.038872447,0.091952858,Disabled,Disability_Status
2599,0.032285022,0.020590606,0.050280296,Disabled,Disability_Status
2639,0.146596713,0.097040184,0.215423062,Disabled,Disability_Status
2649,0.069946612,0.047673241,0.101517001,Disabled,Disability_Status
2734,0.066819198,0.04069407,0.107638531,Disabled,Disability_Status
2754,0.067316447,0.03500725,0.125564678,Disabled,Disability_Status
2794,0.049564942,0.033305459,0.073161441,Disabled,Disability_Status
2849,0.057512943,0.032008074,0.101215739,Disabled,Disability_Status
2929,0.056654919,0.036304576,0.087378243,Disabled,Disability_Status
2934,0.106935714,0.070278241,0.159682958,Disabled,Disability_Status
3009,0.043289737,0.026277976,0.070516959,Disabled,Disability_Status
3039,0.083469634,0.051099192,0.13346202,Disabled,Disability_Status
3184,0.075666314,0.046846186,0.119909849,Disabled,Disability_Status
3194,0.248904632,0.123007767,0.439134598,Disabled,Disability_Status
3364,0.136664368,0.086098437,0.210100565,Disabled,Disability_Status
3694,0.064557132,0.03846201,0.106397796,Disabled,Disability_Status
564,0.085908822,0.047837373,0.149521498,Lost Disabilty Benifits,Disability_Status
634,0.106638347,0.063713728,0.173134199,Lost Disabilty Benifits,Disability_Status
719,0.166522873,0.09996244,0.26438409,Lost Disabilty Benifits,Disability_Status
729,0.129765379,0.073792584,0.2181927,Lost Disabilty Benifits,Disability_Status
744,0.072084559,0.042125399,0.120666309,Lost Disabilty Benifits,Disability_Status
759,0.1184615,0.072706198,0.187198479,Lost Disabilty Benifits,Disability_Status
764,0.159520251,0.090915284,0.264814397,Lost Disabilty Benifits,Disability_Status
789,0.087889297,0.052288971,0.144043712,Lost Disabilty Benifits,Disability_Status
794,0.136018905,0.072210105,0.239665342,Lost Disabilty Benifits,Disability_Status
804,0.16033998,0.091251165,0.266403262,Lost Disabilty Benifits,Disability_Status
809,0.121707657,0.07358864,0.194679223,Lost Disabilty Benifits,Disability_Status
814,0.186708837,0.118085359,0.282440075,Lost Disabilty Benifits,Disability_Status
824,0.165498138,0.103352346,0.254409553,Lost Disabilty Benifits,Disability_Status
829,0.127475478,0.072388303,0.214777417,Lost Disabilty Benifits,Disability_Status
834,0.183977198,0.111027329,0.289228466,Lost Disabilty Benifits,Disability_Status
844,0.064459631,0.03737914,0.108939129,Lost Disabilty Benifits,Disability_Status
854,0.143573583,0.089457874,0.222428634,Lost Disabilty Benifits,Disability_Status
859,0.130493616,0.063516531,0.246673945,Lost Disabilty Benifits,Disability_Status
874,0.183327332,0.109935169,0.289764776,Lost Disabilty Benifits,Disability_Status
879,0.120615306,0.073066798,0.19267444,Lost Disabilty Benifits,Disability_Status
894,0.120703821,0.070102889,0.199051878,Lost Disabilty Benifits,Disability_Status
899,0.107590501,0.061537003,0.181053365,Lost Disabilty Benifits,Disability_Status
909,0.122169485,0.072378415,0.198869865,Lost Disabilty Benifits,Disability_Status
914,0.098479299,0.058460394,0.161202717,Lost Disabilty Benifits,Disability_Status
929,0.078439299,0.046051983,0.130488233,Lost Disabilty Benifits,Disability_Status
934,0.090688443,0.054486977,0.147074441,Lost Disabilty Benifits,Disability_Status
939,0.11880533,0.069909701,0.193758231,Lost Disabilty Benifits,Disability_Status
964,0.215006153,0.123506715,0.347423257,Lost Disabilty Benifits,Disability_Status
969,0.153715143,0.092819215,0.243825086,Lost Disabilty Benifits,Disability_Status
979,0.069141082,0.039066194,0.119759237,Lost Disabilty Benifits,Disability_Status
